Level5	modify5	modify4	modify3	modify2	modify1	modify_5	modify_4	modify_3	modify_2	modify_1
55	IOG_L	IOG_L	Occipital_L	CerebralCortex_L	Telencephalon_L	IO_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
56	IOG_R	IOG_R	Occipital_R	CerebralCortex_R	Telencephalon_R	IO_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
57	Cu_L	Cu_L	Occipital_L	CerebralCortex_L	Telencephalon_L	Cu_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
58	Cu_R	Cu_R	Occipital_R	CerebralCortex_R	Telencephalon_R	Cu_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
59	LG_L	LG_L	Occipital_L	CerebralCortex_L	Telencephalon_L	LG_L	Occipital_L	Occipital_L	Hemisphere_L	Hemisphere_L
60	LG_R	LG_R	Occipital_R	CerebralCortex_R	Telencephalon_R	LG_R	Occipital_R	Occipital_R	Hemisphere_R	Hemisphere_R
61	rostral_ACC_L	Cingulate_L	Limbic_L	CerebralCortex_L	Telencephalon_L	rostral_ACC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
62	rostral_ACC_R	Cingulate_R	Limbic_R	CerebralCortex_R	Telencephalon_R	rostral_ACC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
63	subcallosal_ACC_L	Cingulate_L	Limbic_L	CerebralCortex_L	Telencephalon_L	subcallosal_ACC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
64	subcallosal_ACC_R	Cingulate_R	Limbic_R	CerebralCortex_R	Telencephalon_R	subcallosal_ACC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
65	subgenual_ACC_L	Cingulate_L	Limbic_L	CerebralCortex_L	Telencephalon_L	subgenual_ACC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
66	subgenual_ACC_R	Cingulate_R	Limbic_R	CerebralCortex_R	Telencephalon_R	subgenual_ACC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
67	dorsal_ACC_L	Cingulate_L	Limbic_L	CerebralCortex_L	Telencephalon_L	dorsal_ACC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
68	dorsal_ACC_R	Cingulate_R	Limbic_R	CerebralCortex_R	Telencephalon_R	dorsal_ACC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
69	PCC_L	Cingulate_L	Limbic_L	CerebralCortex_L	Telencephalon_L	PCC_L	Cingulate_L	Limbic_L	Hemisphere_L	Hemisphere_L
70	PCC_R	Cingulate_R	Limbic_R	CerebralCortex_R	Telencephalon_R	PCC_R	Cingulate_R	Limbic_R	Hemisphere_R	Hemisphere_R
71	Insula_L	Insula_L	Insula_L	CerebralCortex_L	Telencephalon_L	Insula_L	Insula_L	Insula_L	Hemisphere_L	Hemisphere_L
72	Insula_R	Insula_R	Insula_R	CerebralCortex_R	Telencephalon_R	Insula_R	Insula_R	Insula_R	Hemisphere_R	Hemisphere_R
73	Amyg_L	Amyg_L	Amyg_L	CerebralNucli_L	Telencephalon_L	Amyg_L	Amyg_L	Amyg_L	CerebralNucli_L	Hemisphere_L
74	Amyg_R	Amyg_R	Amyg_R	CerebralNucli_R	Telencephalon_R	Amyg_R	Amyg_R	Amyg_R	CerebralNucli_R	Hemisphere_R
75	Hippo_L	Hippo_L	Limbic_L	CerebralCortex_L	Telencephalon_L	Hippo_L	Limbic_L	Limbic_L	Hemisphere_L	Hemisphere_L
76	Hippo_R	Hippo_R	Limbic_R	CerebralCortex_R	Telencephalon_R	Hippo_R	Limbic_R	Limbic_R	Hemisphere_R	Hemisphere_R
77	Caud_L	Caud_L	BasalGang_L	CerebralNucli_L	Telencephalon_L	Caud_L	Striatum_L	BasalGang_L	CerebralNucli_L	Hemisphere_L
78	Caud_R	Caud_R	BasalGang_R	CerebralNucli_R	Telencephalon_R	Caud_R	Striatum_R	BasalGang_R	CerebralNucli_R	Hemisphere_R
79	Put_L	Put_L	BasalGang_L	CerebralNucli_L	Telencephalon_L	Put_L	Striatum_L	BasalGang_L	CerebralNucli_L	Hemisphere_L
80	Put_R	Put_R	BasalGang_R	CerebralNucli_R	Telencephalon_R	Put_R	Striatum_R	BasalGang_R	CerebralNucli_R	Hemisphere_R
81	GP_L	GP_L	BasalGang_L	CerebralNucli_L	Telencephalon_L	GP_L	GP_L	BasalGang_L	CerebralNucli_L	Hemisphere_L
82	GP_R	GP_R	BasalGang_R	CerebralNucli_R	Telencephalon_R	GP_R	GP_R	BasalGang_R	CerebralNucli_R	Hemisphere_R
83	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	Diencephalon_L	Thalamus_L	Thalamus_L	Thalamus_L	Thalamus_L	Hemisphere_L
84	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	Diencephalon_R	Thalamus_R	Thalamus_R	Thalamus_R	Thalamus_R	Hemisphere_R
85	HypoThalamus_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Diencephalon_L	HypoThalamus_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Hemisphere_L
86	HypoThalamus_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Diencephalon_R	HypoThalamus_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Hemisphere_R
87	AnteriorBasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Diencephalon_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Hemisphere_L
88	AnteriorBasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Diencephalon_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Hemisphere_R
89	NucAccumbens_L	NucAccumbens_L	BasalGang_L	CerebralNucli_L	Telencephalon_L	NucAccumbens_L	Striatum_L	BasalGang_L	CerebralNucli_L	Hemisphere_L
90	NucAccumbens_R	NucAccumbens_R	BasalGang_R	CerebralNucli_R	Telencephalon_R	NucAccumbens_R	Striatum_R	BasalGang_R	CerebralNucli_R	Hemisphere_R
91	RedNc_L	midbrain_L	midbrain_L	Mesencephalon_L	Mesencephalon	RedNc_L	midbrain_L	midbrain_L	midbrain	Brainstem
92	RedNc_R	midbrain_R	midbrain_R	Mesencephalon_R	Mesencephalon	RedNc_R	midbrain_R	midbrain_R	midbrain	Brainstem
93	Snigra_L	midbrain_L	midbrain_L	Mesencephalon_L	Mesencephalon	Snigra_L	midbrain_L	midbrain_L	midbrain	Brainstem
94	Snigra_R	midbrain_R	midbrain_R	Mesencephalon_R	Mesencephalon	Snigra_R	midbrain_R	midbrain_R	midbrain	Brainstem
95	CerebellumGM_R	Cerebellum_R	Cerebellum_R	Metencephalon_R	Metencephalon	Cerebellum_R	Cerebellum_R	Cerebellum_R	Cerebellum_R	Cerebellum
96	CerebellumGM_L	Cerebellum_L	Cerebellum_L	Metencephalon_L	Metencephalon	Cerebellum_L	Cerebellum_L	Cerebellum_L	Cerebellum_L	Cerebellum
97	CP_L	midbrain_L	midbrain_L	Mesencephalon_L	Mesencephalon	CP_L	midbrain_L	midbrain_L	midbrain	Brainstem
98	CP_R	midbrain_R	midbrain_R	Mesencephalon_R	Mesencephalon	CP_R	midbrain_R	midbrain_R	midbrain	Brainstem
99	Midbrain_L	midbrain_L	midbrain_L	Mesencephalon_L	Mesencephalon	Midbrain_L	midbrain_L	midbrain_L	midbrain	Brainstem
100	Midbrain_R	midbrain_R	midbrain_R	Mesencephalon_R	Mesencephalon	Midbrain_R	midbrain_R	midbrain_R	midbrain	Brainstem
101	CST_L	Pons_L	Pons_L	Metencephalon_L	Metencephalon	CST_L	Pons_L	Pons_L	Brainstem_L	Brainstem
102	CST_R	Pons_R	Pons_R	Metencephalon_R	Metencephalon	CST_R	Pons_R	Pons_R	Brainstem_R	Brainstem
103	SCP_L	Pons_L	Pons_L	Metencephalon_L	Metencephalon	SCP_L	Pons_L	Pons_L	Brainstem_L	Brainstem
104	SCP_R	Pons_R	Pons_R	Metencephalon_R	Metencephalon	SCP_R	Pons_R	Pons_R	Brainstem_R	Brainstem
105	MCP_L	Pons_L	Pons_L	Metencephalon_L	Metencephalon	MCP_L	Pons_L	Pons_L	Brainstem_L	Brainstem
106	MCP_R	Pons_R	Pons_R	Metencephalon_R	Metencephalon	MCP_R	Pons_R	Pons_R	Brainstem_R	Brainstem
107	PCT_L	Pons_L	Pons_L	Metencephalon_L	Metencephalon	PCT_L	Pons_L	Pons_L	Brainstem_L	Brainstem
108	PCT_R	Pons_R	Pons_R	Metencephalon_R	Metencephalon	PCT_R	Pons_R	Pons_R	Brainstem_R	Brainstem
109	ICP_L	Medulla_L	Medulla_L	Myelencephalon_L	Myelencephalon	Medulla_L	Medulla_L	Medulla_L	Brainstem_L	Brainstem
110	ICP_R	Medulla_R	Medulla_R	Myelencephalon_R	Myelencephalon	Medulla_R	Medulla_R	Medulla_R	Brainstem_R	Brainstem
111	ML_L	Pons_L	Pons_L	Metencephalon_L	Metencephalon	ML_L	Pons_L	Pons_L	Brainstem_L	Brainstem
112	ML_R	Pons_R	Pons_R	Metencephalon_R	Metencephalon	ML_R	Pons_R	Pons_R	Brainstem_R	Brainstem
113	Pons_L	Pons_L	Pons_L	Metencephalon_L	Metencephalon	Pons_L	Pons_L	Pons_L	Brainstem_L	Brainstem
114	Pons_R	Pons_R	Pons_R	Metencephalon_R	Metencephalon	Pons_R	Pons_R	Pons_R	Brainstem_R	Brainstem
115	Medulla_L	Medulla_L	Medulla_L	Myelencephalon_L	Myelencephalon	Medulla_L	Medulla_L	Medulla_L	Brainstem_L	Brainstem
116	Medulla_R	Medulla_R	Medulla_R	Myelencephalon_R	Myelencephalon	Medulla_R	Medulla_R	Medulla_R	Brainstem_R	Brainstem
117	ACR_L	ant_DPWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	ACR_L	ant_DPWM_L	AnteriorWM_L	WhiteMatter_L	Hemisphere_L
118	ACR_R	ant_DPWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	ACR_R	ant_DPWM_R	AnteriorWM_R	WhiteMatter_R	Hemisphere_R
119	SCR_L	ant_DPWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	SCR_L	ant_DPWM_L	AnteriorWM_L	WhiteMatter_L	Hemisphere_L
120	SCR_R	ant_DPWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	SCR_R	ant_DPWM_R	AnteriorWM_R	WhiteMatter_R	Hemisphere_R
121	PCR_L	post_DPWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	PCR_L	post_DPWM_L	PosteriorWM_L	WhiteMatter_L	Hemisphere_L
122	PCR_R	post_DPWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	PCR_R	post_DPWM_R	PosteriorWM_R	WhiteMatter_R	Hemisphere_R
123	GCC_L	GCC_L	CorpusCallosum_L	WhiteMatter_L	Telencephalon_L	GCC_L	CorpusCallosum_L	CorpusCallosum_L	WhiteMatter_L	Hemisphere_L
124	GCC_R	GCC_R	CorpusCallosum_R	WhiteMatter_R	Telencephalon_R	GCC_R	CorpusCallosum_R	CorpusCallosum_R	WhiteMatter_R	Hemisphere_R
125	BCC_L	BCC_L	CorpusCallosum_L	WhiteMatter_L	Telencephalon_L	BCC_L	CorpusCallosum_L	CorpusCallosum_L	WhiteMatter_L	Hemisphere_L
126	BCC_R	BCC_R	CorpusCallosum_R	WhiteMatter_R	Telencephalon_R	BCC_R	CorpusCallosum_R	CorpusCallosum_R	WhiteMatter_R	Hemisphere_R
127	SCC_L	SCC_L	CorpusCallosum_L	WhiteMatter_L	Telencephalon_L	SCC_L	CorpusCallosum_L	CorpusCallosum_L	WhiteMatter_L	Hemisphere_L
128	SCC_R	SCC_R	CorpusCallosum_R	WhiteMatter_R	Telencephalon_R	SCC_R	CorpusCallosum_R	CorpusCallosum_R	WhiteMatter_R	Hemisphere_R
129	PVWl_L	PVWl_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	PVWl_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
130	PVWl_R	PVWl_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	PVWl_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
131	ALIC_L	ALIC_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	ALIC_L	InternalCapsule_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
132	ALIC_R	ALIC_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	ALIC_R	InternalCapsule_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
133	PLIC_L	PLIC_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	PLIC_L	InternalCapsule_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
134	PLIC_R	PLIC_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	PLIC_R	InternalCapsule_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
135	RLIC_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	RLIC_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
136	RLIC_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	RLIC_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
137	EC_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	EC_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
138	EC_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	EC_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
139	CGC_L	CGC_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	CGC_L	LimbicWM_L	LimbicWM_L	WhiteMatter_L	Hemisphere_L
140	CGC_R	CGC_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	CGC_R	LimbicWM_R	LimbicWM_R	WhiteMatter_R	Hemisphere_R
141	CGH_L	CGH_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	CGH_L	LimbicWM_L	LimbicWM_L	WhiteMatter_L	Hemisphere_L
142	CGH_R	CGH_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	CGH_R	LimbicWM_R	LimbicWM_R	WhiteMatter_R	Hemisphere_R
143	Fx/ST_L	Fx/ST_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	Fx/ST_L	LimbicWM_L	LimbicWM_L	WhiteMatter_L	Hemisphere_L
144	Fx/ST_R	Fx/ST_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	Fx/ST_R	LimbicWM_R	LimbicWM_R	WhiteMatter_R	Hemisphere_R
145	Fx_L	Fx_L	LimbicWM_L	WhiteMatter_L	Telencephalon_L	Fx_L	LimbicWM_L	LimbicWM_L	WhiteMatter_L	Hemisphere_L
146	Fx_R	Fx_R	LimbicWM_R	WhiteMatter_R	Telencephalon_R	Fx_R	LimbicWM_R	LimbicWM_R	WhiteMatter_R	Hemisphere_R
147	IFO_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	IFO_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
148	IFO_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	IFO_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
149	PTR_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	PTR_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
150	PTR_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	PTR_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
151	SS_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Telencephalon_L	SS_L	inf_DPWM_L	InferiorWM_L	WhiteMatter_L	Hemisphere_L
152	SS_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Telencephalon_R	SS_R	inf_DPWM_R	InferiorWM_R	WhiteMatter_R	Hemisphere_R
153	SFO_L	ant_DPWM_L	AnteriorWM_L	WhiteMatter_L	Telencephalon_L	SFO_L	ant_DPWM_L	AnteriorWM_L	WhiteMatter_L	Hemisphere_L
154	SFO_R	ant_DPWM_R	AnteriorWM_R	WhiteMatter_R	Telencephalon_R	SFO_R	ant_DPWM_R	AnteriorWM_R	WhiteMatter_R	Hemisphere_R
155	SLF_L	PeripheralParietalWM_L	PosteriorWM_L	WhiteMatter_L	Telencephalon_L	SLF_L	Parietal_L	Parietal_L	Hemisphere_L	Hemisphere_L
156	SLF_R	PeripheralParietalWM_R	PosteriorWM_R	WhiteMatter_R	Telencephalon_R	SLF_R	Parietal_R	Parietal_R	Hemisphere_R	Hemisphere_R
157	Cl_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Diencephalon_L	Cl_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Hemisphere_L
158	Cl_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Diencephalon_R	Cl_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Hemisphere_R
159	PosteriorBasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Diencephalon_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Hemisphere_L
160	PosteriorBasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Diencephalon_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Hemisphere_R
161	Mammillary_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Diencephalon_R	Mammillary_R	BasalForebrain_R	BasalForebrain_R	BasalForebrain_R	Hemisphere_R
162	Mammillary_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Diencephalon_L	Mammillary_L	BasalForebrain_L	BasalForebrain_L	BasalForebrain_L	Hemisphere_L
163	LV_Frontal_L	AnteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF	LV_Frontal_L	AnteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF
164	LV_body_L	AnteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF	LV_body_L	AnteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF
165	LV_atrium_L	PosteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF	LV_atrium_L	PosteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF
166	LV_Occipital_L	PosteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF	LV_Occipital_L	PosteriorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF
167	LV_Inferior_L	InferiorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF	LV_Inferior_L	InferiorLateralVentricle_L	LateralVentricle_L	Ventricle	CSF
